Jan 23 2020,1
Jan 24 2020,1
Jan 25 2020,0
Jan 26 2020,1
Jan 27 2020,0
Jan 28 2020,0
Jan 29 2020,0
Jan 30 2020,0
Jan 31 2020,1
Feb 1 2020,1
Feb 2 2020,3
Feb 3 2020,3
Feb 4 2020,0
Feb 5 2020,0
Feb 6 2020,0
Feb 7 2020,1
Feb 8 2020,0
Feb 9 2020,0
Feb 10 2020,0
Feb 11 2020,0
Feb 12 2020,1
Feb 13 2020,1
Feb 14 2020,0
Feb 15 2020,0
Feb 16 2020,0
Feb 17 2020,2
Feb 18 2020,5
Feb 19 2020,3
Feb 20 2020,1
Feb 21 2020,5
Feb 22 2020,6
Feb 23 2020,0
Feb 24 2020,4
Feb 25 2020,4
Feb 26 2020,8
Feb 27 2020,5
Feb 28 2020,4
Feb 29 2020,9
Mar 1 2020,18
Mar 2 2020,36
Mar 3 2020,64
Mar 4 2020,67
Mar 5 2020,78
Mar 6 2020,121
Mar 7 2020,160
Mar 8 2020,209
Mar 9 2020,420
Mar 10 2020,493
Mar 11 2020,514
Mar 12 2020,748
Mar 13 2020,911
Mar 14 2020,1231
Mar 15 2020,2202
Mar 16 2020,2349
Mar 17 2020,3222
Mar 18 2020,4903
Mar 19 2020,6174
Mar 20 2020,7437
Mar 21 2020,9218
Mar 22 2020,10868
Mar 23 2020,10728
Mar 24 2020,11351
Mar 25 2020,14160
Mar 26 2020,18772
Mar 27 2020,20039
Mar 28 2020,20635
Mar 29 2020,26334
Mar 30 2020,15831
Mar 31 2020,23296
Apr 1 2020,28347
Apr 2 2020,30045
Apr 3 2020,31839
Apr 4 2020,32492
Apr 5 2020,27478
Apr 6 2020,28584
Apr 7 2020,30225
Apr 8 2020,33682
Apr 9 2020,34988
Apr 10 2020,31920
Apr 11 2020,32207
Apr 12 2020,27798
Apr 13 2020,24932
Apr 14 2020,25186
Apr 15 2020,25379
Apr 16 2020,31820
Apr 17 2020,29778
Apr 18 2020,27600
Apr 19 2020,27884
Apr 20 2020,25811
Apr 21 2020,25455
Apr 22 2020,31434
Apr 23 2020,32997
Apr 24 2020,34130
Apr 25 2020,33375
Apr 26 2020,27234
Apr 27 2020,24218
Apr 28 2020,23487
Apr 29 2020,27205
Apr 30 2020,32425
May 1 2020,30225
May 2 2020,28396
May 3 2020,27842
May 4 2020,21179
May 5 2020,23207
May 6 2020,24303
May 7 2020,30615
May 8 2020,28046
May 9 2020,25967
May 10 2020,21651
May 11 2020,19299
May 12 2020,24260
May 13 2020,17740
May 14 2020,34532
May 15 2020,27118
May 16 2020,25303
May 17 2020,19225
May 18 2020,24690
May 19 2020,20691
May 20 2020,24490
May 21 2020,25523
May 22 2020,26029
May 23 2020,20979
May 24 2020,21765
May 25 2020,19149
May 26 2020,16954
May 27 2020,20367
May 28 2020,24198
May 29 2020,23554
May 30 2020,23710
May 31 2020,21206
Jun 1 2020,17358
Jun 2 2020,20731
Jun 3 2020,21109
Jun 4 2020,20712
Jun 5 2020,24424
Jun 6 2020,23574
Jun 7 2020,17780
Jun 8 2020,18038
Jun 9 2020,18594
Jun 10 2020,22484
Jun 11 2020,22688
Jun 12 2020,28748
Jun 13 2020,26007
Jun 14 2020,20620
Jun 15 2020,20588
Jun 16 2020,24926
Jun 17 2020,25603
Jun 18 2020,28758
Jun 19 2020,33308
